1919	2	JEANNE	10036
1919	2	MADELEINE	6133
1919	2	YVONNE	5455
1919	2	SUZANNE	5444
1920	1	JEAN	28890
1920	1	ANDRÉ	18293
1920	1	PIERRE	15640
1920	1	RENÉ	15030
1920	1	MARCEL	14514
1920	2	MARIE	38277
1920	2	JEANNE	16727
1920	2	MADELEINE	9966
1920	2	SUZANNE	9481
1920	2	YVONNE	9052
1921	1	JEAN	29009
1921	1	ANDRÉ	18117
1921	1	PIERRE	15725
1921	1	RENÉ	14562
1921	1	MARCEL	13679
1921	2	MARIE	36788
1921	2	JEANNE	16063
1921	2	MADELEINE	9449
1921	2	SUZANNE	9098
1921	2	YVONNE	8791
1922	1	JEAN	28519
1922	1	ANDRÉ	17437
1922	1	PIERRE	15078
1922	1	RENÉ	13838
1922	1	MARCEL	12848
1922	2	MARIE	34135
1922	2	JEANNE	14678
1922	2	MADELEINE	8673
1922	2	SUZANNE	8614
1922	2	YVONNE	8082
1923	1	JEAN	29303
1923	1	ANDRÉ	17388
1923	1	PIERRE	15514
1923	1	RENÉ	13810
1923	1	ROGER	12592
1923	2	MARIE	33488
1923	2	JEANNE	13844
1923	2	MADELEINE	8748
1923	2	SUZANNE	8371
1923	2	PAULETTE	7865
1924	1	JEAN	29775
1924	1	ANDRÉ	16981
1924	1	PIERRE	15710
1924	1	RENÉ	13649
1924	1	ROGER	12704
1924	2	MARIE	32357
1924	2	JEANNE	13201
1924	2	MADELEINE	8057
1924	2	SUZANNE	7950
1924	2	DENISE	7895
1925	1	JEAN	31193
1925	1	ANDRÉ	17608
1925	1	PIERRE	16094
1925	1	RENÉ	14092
1925	1	ROGER	13539
1925	2	MARIE	31669
1925	2	JEANNE	12298
1925	2	JACQUELINE	8972
1925	2	DENISE	8160
1925	2	ODETTE	7882
1926	1	JEAN	31523
1926	1	ANDRÉ	17512
1926	1	PIERRE	16243
1926	1	RENÉ	14129
1926	1	ROGER	13406
1926	2	MARIE	31055
1926	2	JEANNE	11403
1926	2	JACQUELINE	9747
1926	2	DENISE	8428
1926	2	JEANNINE	7797
1927	1	JEAN	31449
1927	1	ANDRÉ	17371
1927	1	PIERRE	16382
1927	1	RENÉ	13716
1927	1	ROGER	13202
1927	2	MARIE	29266
1927	2	JEANNE	10485
1927	2	JACQUELINE	10200
1927	2	JEANNINE	8800
1927	2	DENISE	8439
1928	1	JEAN	32110
1928	1	ANDRÉ	17737
1928	1	PIERRE	16296
1928	1	RENÉ	13640
1928	1	ROGER	12989
1928	2	MARIE	28544
1928	2	JACQUELINE	10536
1928	2	JEANNE	9901
1928	2	JEANNINE	9612
1928	2	DENISE	8178
1929	1	JEAN	32071
1929	1	ANDRÉ	17312
1929	1	PIERRE	15911
1929	1	RENÉ	13266
1929	1	ROGER	12582
1929	2	MARIE	26893
1929	2	JACQUELINE	10578
1929	2	JEANNINE	9940
1929	2	JEANNE	8972
1929	2	DENISE	7930
1930	1	JEAN	33847
1930	1	ANDRÉ	17073
1930	1	PIERRE	16474
1930	1	RENÉ	13305
1930	1	MICHEL	12703
1930	2	MARIE	27770
1930	2	JACQUELINE	11448
1930	2	JEANNINE	10993
1930	2	JEANNE	8919
1930	2	DENISE	8281
1931	1	JEAN	33463
1931	1	ANDRÉ	17115
1931	1	PIERRE	16074
1931	1	MICHEL	13453
1931	1	RENÉ	12512
1931	2	MARIE	27358
1931	2	JACQUELINE	11613
1931	2	JEANNINE	10839
1931	2	JEANNE	8451
1931	2	DENISE	8108
1932	1	JEAN	33836
1932	1	ANDRÉ	16954
1932	1	PIERRE	15688
